nama_tempat_wisata,kategori,preferensi,kecamatan,kabupaten_kota,rating,jumlah_rating,harga_tiket,link,latitude,longitude,link_gambar
Cikarae Cave,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.7,37,,https://www.google.com/maps/place/Cikarae+Cave/data=!4m7!3m6!1s0x2e69bf53f98de453:0x65c2afa29982dc63!8m2!3d-6.5152381!4d106.9218867!16s%2Fg%2F11fmpy7kvt!19sChIJU-SN-VO_aS4RY9yCmaKvwmU?authuser=0&hl=id&rclk=1,-6.5152381,106.9218867,https://lh3.googleusercontent.com/p/AF1QipNONw0lYsbsCAJ02FUVnzJNAy7we6HKR9HApAQC=w1200-h800
Wisata Alam Gedegan,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.0,3,,https://www.google.com/maps/place/Wisata+Alam+Gedegan/data=!4m7!3m6!1s0x2e69ebcc86e0f4d1:0xb39d32b0110f47ec!8m2!3d-6.4429928!4d106.8970186!16s%2Fg%2F11rq71030w!19sChIJ0fTghszraS4R7EcPEbAynbM?authuser=0&hl=id&rclk=1,-6.4429928,106.8970186,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx44_J1rvbKf4VTnsBMTeKiPASYWXuJo8E8-cbyTDVg1zpvYQXxkdZsdaoXPfNbEA33cZxlwHJ6HvT8wvGzuopxGh9TbBx-kzUeqYvIr9CzkWIOOsz7N8QEE9nmdGLx1JKhiVcEgg=w1200-h800
Siradayah Swamp,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.4,24,,https://www.google.com/maps/place/Siradayah+Swamp/data=!4m7!3m6!1s0x2e69953590722a23:0x8d3a354f7055dbef!8m2!3d-6.4386476!4d106.9159757!16s%2Fg%2F11f1wvssj_!19sChIJIypykDWVaS4R79tVcE81Oo0?authuser=0&hl=id&rclk=1,-6.4386476,106.9159757,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwAgK3hRyxUtPfOPR3NymVni79yHDou-cRTyALPjTqgzXmmN59uz4ADXKWS8K_1eDsGaSLQ0YL58w3DDfiewDTMPGXv26K2a_z27m4dQHtHNCyPrQHTx1Vvv5glbxs03zj5uVlj=w1200-h800
Taman Payung Vila Nusa Indah,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.4,139,,https://www.google.com/maps/place/Taman+Payung+Vila+Nusa+Indah/data=!4m7!3m6!1s0x2e6992417893f9f3:0xf1b5f19bd4e90409!8m2!3d-6.317009!4d106.9777146!16s%2Fg%2F11g6924chm!19sChIJ8_mTeEGSaS4RCQTp1JvxtfE?authuser=0&hl=id&rclk=1,-6.317009,106.9777146,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxPK3yY3H90yWVsDaJxRUPFz1Ptjvf8tF-KLV8eSYbrK1huvk054fl2xHOj4zrKtuB_jAhul-mNQZ8Lia9EwwGxN4GZ85u0Y9uXJgXB9Ym30Fcrux0OACgHnHLtv5F9k4T1kZ4=w1200-h800
Taman Burung Vila Nusa Indah,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.0,675,,https://www.google.com/maps/place/Taman+Burung+Vila+Nusa+Indah/data=!4m7!3m6!1s0x2e699241e209561f:0xeec1394eae54f96!8m2!3d-6.3144904!4d106.9782805!16s%2Fg%2F11c3k8x52y!19sChIJH1YJ4kGSaS4Rlk_l6pQT7A4?authuser=0&hl=id&rclk=1,-6.3144904,106.9782805,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwBWr-YloK2ae1y0GQKS88nug6kQ553EV8QPeaB-Lx9xspK8pnTnVoduB15UFYsLvAnfs74HxUWDwy04ZAs3C8gQKFcdW2QRxQzHcq_n5ZV0nGBNthYg4fXz1QwLfFl_EUQizmT=w1200-h800
Byzantium Park BP Lewis,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.9,34,,https://www.google.com/maps/place/Byzantium+Park+BP+Lewis/data=!4m7!3m6!1s0x2e6995a9a8370d3d:0x3150ae60e355ffe1!8m2!3d-6.3998858!4d106.9468498!16s%2Fg%2F11tjvh789_!19sChIJPQ03qKmVaS4R4f9V42CuUDE?authuser=0&hl=id&rclk=1,-6.3998858,106.9468498,https://lh3.googleusercontent.com/p/AF1QipNBBzwO3ZvnsLNWJioDXwZooHUROeZgzETQbp5P=w1200-h800
Kekar Kolom Gn.Putri,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,5.0,2,,https://www.google.com/maps/place/Kekar+Kolom+Gn.Putri/data=!4m7!3m6!1s0x2e69ebd88e1f4eb1:0x5e39fc11293c6f58!8m2!3d-6.46!4d106.892825!16s%2Fg%2F11j3vpj_j2!19sChIJsU4fjtjraS4RWG88KRH8OV4?authuser=0&hl=id&rclk=1,-6.46,106.892825,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyyqkPxH7lRIj5AADYMc8xO6UY5dY86Lo71fG1YNshsdwsGsEIDz1pcq3GWnwZBmS1bOet2T96ErXhdp60Cu_wLJQ78IWHj1vSf0oyCjPAV8TgPAnXl-OFz12FYdhdAKe7JAioE=w1200-h800
Taman Tugu Jam VNI-3,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.5,116,,https://www.google.com/maps/place/Taman+Tugu+Jam+VNI-3/data=!4m7!3m6!1s0x2e69932e66365459:0x2f94fc0873dbec14!8m2!3d-6.3311742!4d106.9646847!16s%2Fg%2F11ght93t1z!19sChIJWVQ2Zi6TaS4RFOzbcwj8lC8?authuser=0&hl=id&rclk=1,-6.3311742,106.9646847,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxNtLb-_qwwO16y9pOyLhOrRF8tAz2fTkGuH1yGZ7gqZVG8nBUnnu6G97gHmRK53hOtqdguvCTu619Pavb3qmHucTYptrNgomnx6hrvUsJbTwPBPaeCEZAJqqwJU7W9e2VGnGbEcA=w1200-h800
Den Haag Forestry,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.6,88,,https://www.google.com/maps/place/Den+Haag+Forestry/data=!4m7!3m6!1s0x2e6995d3ad24c0ad:0xe5b14fd4080340c!8m2!3d-6.381587!4d106.9581123!16s%2Fg%2F11p0z9wx_b!19sChIJrcAkrdOVaS4RDDSAQP0UWw4?authuser=0&hl=id&rclk=1,-6.381587,106.9581123,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwKjfYc5TbaWSN4hxOTqwQxS2wavG-JQ2hSj8BTk5gG4r5vWk0PUmAXG5y3ziALWmZdb0Pd_1-3n3Z2rcdOWksF7-XtvwhZpIZtUVYj5rMm05LP0aagPV6-1SgqH5tSVWTvKV3-NQ=w1200-h800
Saung Keboen Kita,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,5.0,1,,https://www.google.com/maps/place/Saung+Keboen+Kita/data=!4m7!3m6!1s0x2e699527523a7ead:0x4fbfd22cbfb80e9b!8m2!3d-6.4189492!4d106.929648!16s%2Fg%2F11gblfk_fl!19sChIJrX46UieVaS4Rmw64vyzSv08?authuser=0&hl=id&rclk=1,-6.4189492,106.929648,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwHxHxBSgXIhzZDUO_K9wFkS8dhdH3YgSzmZt50k1m1km4uF30C2FgtFIK9ka-mdxt1Y9Rk9cCK3q84rEeugzwJWxv5ICFN4HJTwrNRfxQyFoEj_xsdJ1Rn3_ohNYb7Jjp0zEo1kA=w1200-h800
TAMAN WISATA SIGANTANG,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.4,249,,https://www.google.com/maps/place/TAMAN+WISATA+SIGANTANG/data=!4m7!3m6!1s0x2e69bf7098c5ba97:0x292a150fad7dc937!8m2!3d-6.460724!4d106.9161454!16s%2Fg%2F11qbv6nkvq!19sChIJl7rFmHC_aS4RN8l9rQ8VKik?authuser=0&hl=id&rclk=1,-6.460724,106.9161454,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzW3PWhEdqfMsnu0szRQjr4ou-0mqdAfBFTyGsJx_MhttQSv3vLEQIArnJCRjW2xQou2o7IGqmgoTMcLhy9r4WImGfz-cSVLxTpHfYU27B1uHcYPijl3krE_SYDyrM4JxLX6Wz57A=w1200-h800
Funworld Bowling Kota wisata cibubur,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.7,29,,https://www.google.com/maps/place/Funworld+Bowling+Kota+wisata+cibubur/data=!4m7!3m6!1s0x2e699300791fb57f:0x38d24eaba7ba18f2!8m2!3d-6.369707!4d106.9591484!16s%2Fg%2F11x221hjxn!19sChIJf7UfeQCTaS4R8hi6p6tO0jg?authuser=0&hl=id&rclk=1,-6.369707,106.9591484,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuc6iUvTQxRxxH_gshCqgthJk53-7cAKNdlubhtplBMgacEjTlpCXcjhl_iRTv1YAabL4aE130pInJHuWIO57RiwGjhxAeGbE_tqJ8FSmo4dejQL9qyvjQYyvbfoNxqFOG0WHvl9imvtc=w1200-h800
Taman Byzentium,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,5.0,1,,https://www.google.com/maps/place/Taman+Byzentium/data=!4m7!3m6!1s0x2e69955b6aeb482f:0x438d074466edb8d9!8m2!3d-6.4039107!4d106.9452029!16s%2Fg%2F11t59n3vwv!19sChIJL0jraluVaS4R2bjtZkQHjUM?authuser=0&hl=id&rclk=1,-6.4039107,106.9452029,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxYrR02YVHC7vQVKjRS0y2ozYisZOgegVE20VXfEDL7-k6kxk3Jw_71baAJzo9MoF-Slt4SddM5xWmbNoPEI693OENcSPowebH2tsdm2qFzQPx4MGlHbG0isNC3EtSf2fTuTUwGOg=w1200-h800
Situ Babakan KRL Nanas,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,5.0,4,,https://www.google.com/maps/place/Situ+Babakan+KRL+Nanas/data=!4m7!3m6!1s0x2e69ebcfc2759177:0x8afecf1855641226!8m2!3d-6.4545793!4d106.8924035!16s%2Fg%2F11rcd9gy45!19sChIJd5F1ws_raS4RJhJkVRjP_oo?authuser=0&hl=id&rclk=1,-6.4545793,106.8924035,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxPFYJmHgDvSBN6V5Azi_I7_j0XlnGO8wAOC_x0gzuSi4NqYvecfrzlYKWQhEyR2wQRCLwJRZph9W7HUalrIqRWxkUhTnyQurwPSnfosvxoKYgpkMWBOW35rlQjDMwyFo3WFDuW6g=w1200-h800
Curug Citeureup Asri,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.3,376,,https://www.google.com/maps/place/Curug+Citeureup+Asri/data=!4m7!3m6!1s0x2e69c1bcfc48e9e7:0x1b9d14cbd5137b81!8m2!3d-6.504016!4d106.908942!16s%2Fg%2F11g0mn_970!19sChIJ5-lI_LzBaS4RgXsT1csUnRs?authuser=0&hl=id&rclk=1,-6.504016,106.908942,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxpBlb6whi7EOxQXpM_VBs5KVYnv5kJ4wmawWYB3iUPZs11VU176ahagCZpwUIANDL3pECFYIR5Hdc85SlFBomZ9XJgvj7JK00WhCyFzRi_M7fcmofIz9BhwBFyGKfPq44-sq7M=w1200-h800
Taman Kota Wisata,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.4,220,,https://www.google.com/maps/place/Taman+Kota+Wisata/data=!4m7!3m6!1s0x2e699377cd66d2a7:0x3be6233ae3a82f2f!8m2!3d-6.3638479!4d106.9588096!16s%2Fg%2F11g8fkvjn3!19sChIJp9JmzXeTaS4RLy-o4zoj5js?authuser=0&hl=id&rclk=1,-6.3638479,106.9588096,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx9zCW7oPQ_TxOXQ3EaQxY4bWkvyT9QV3yQgQlXlEXk5fvDv-c6nrp41nZZbEOUOsYXxF29iZyruILo4BVKPF6dI_nbasuVckaOd5B5uDLA-Iy9vg_CybCEJ1-BQ2PKE-O_ZaWJjw=w1200-h800
Saung GPS Citongtut,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.9,66,,https://www.google.com/maps/place/Saung+GPS+Citongtut/data=!4m7!3m6!1s0x2e6995761496ac5d:0x6b3028324a08f4ce!8m2!3d-6.4268244!4d106.9328732!16s%2Fg%2F11mvwg2cvd!19sChIJXayWFHaVaS4RzvQISjIoMGs?authuser=0&hl=id&rclk=1,-6.4268244,106.9328732,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyxQ0cayIAzqzA7OyA-Ec7t7-2FKV5NvtsTtL_VkeUZK9zV9vuXRzNvFYSuP_NJ5k3ZL-AgowUQmuy4DLzcuxeiAMmeUkygtvXuVhhHx_9wwQPKvY8vetHGYDSKx1-K5zC--Y8-=w1200-h800
Einstein Park,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.6,59,,https://www.google.com/maps/place/Einstein+Park/data=!4m7!3m6!1s0x2e6994f3ca53e215:0x5fadb9e099e3d8f4!8m2!3d-6.4013053!4d106.9508673!16s%2Fg%2F11c48sd9yp!19sChIJFeJTyvOUaS4R9NjjmeC5rV8?authuser=0&hl=id&rclk=1,-6.4013053,106.9508673,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCyXf4t9aCvRmWVevauurEC89_XSVT-sNQEwdXO8Roxp21lAGaxjgsILP0d-QYXMlfjf1MvnNndBP5fKmtjzDhbMYRT_fEI6wJDkg4BU_CqKBdUzwSkYchfyZG7CoQEM2jcLh8=w1200-h800
Taman Cluster Elang,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.3,118,,https://www.google.com/maps/place/Taman+Cluster+Elang/data=!4m7!3m6!1s0x2e6993b1655076cd:0xe8d279d0db1c5019!8m2!3d-6.3407152!4d106.9750135!16s%2Fg%2F11cmd1rlzb!19sChIJzXZQZbGTaS4RGVAc29B50ug?authuser=0&hl=id&rclk=1,-6.3407152,106.9750135,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzLWfZ1-VV8CI2ZSOx_4TOrY-8vxfKnbZ2kLZuAhpv9iDrqvge-DfLetZWkaxbe7to15_Z6kgCvc30FL23cyEy9J0sv_zVhtI8F4YDGuR6SzmeaGlC-IBBbLOyp5wNk6DWZ-TI=w1200-h800
PEMANCINGAN PADHE TURIMAN,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,5.0,3,,https://www.google.com/maps/place/PEMANCINGAN+PADHE+TURIMAN/data=!4m7!3m6!1s0x2e69eb315e40a02b:0x72472ae559f35665!8m2!3d-6.4571645!4d106.8933369!16s%2Fg%2F11lsmfqvsb!19sChIJK6BAXjHraS4RZVbzWeUqR3I?authuser=0&hl=id&rclk=1,-6.4571645,106.8933369,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzDyGLOsl7CZ7hEkoxW1n1U659P5j2SvVIxVdqvdYRBQ4vdwzvOZwlh0ArXFnKt0_qB2fmR85uyT0cnGnof-LCkuuEi4aTvKHn5JWiHtBtSz5tmCxbMSWjiJB-FOAy1qW_nTZgsxw=w1200-h800
Situs pancuran tunggal hulu cai,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,3.0,1,,https://www.google.com/maps/place/Situs+pancuran+tunggal+hulu+cai/data=!4m7!3m6!1s0x2e699500571ecccf:0x255b077626c9fd11!8m2!3d-6.434195!4d106.9346483!16s%2Fg%2F11w9bbnmty!19sChIJz8weVwCVaS4REf3JJnYHWyU?authuser=0&hl=id&rclk=1,-6.434195,106.9346483,https://lh3.googleusercontent.com/a-/ALV-UjUivLABh4AvKUsNfRqlHuDxW6dp3M_TvvfQZvQRYgz_bYmq5Q_STQ=w1200-h800
Taman Pelangi,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.5,94,,https://www.google.com/maps/place/Taman+Pelangi/data=!4m7!3m6!1s0x2e699377cd1f933f:0x3d37cfdcbf8c81cc!8m2!3d-6.3638779!4d106.95881!16s%2Fg%2F11g9qgth_s!19sChIJP5MfzXeTaS4RzIGMv9zPNz0?authuser=0&hl=id&rclk=1,-6.3638779,106.95881,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyLnE-4z8i0FMxzFRAr3uiV2D8b9uOdifm-lI3jDl_rUO9b08cqTWvWPrs6HBheQn0rb1QBSLPNn7HWPPOpoN1Jfb5EtBDyQfvWl7kW9yVQwasZ89v7dpTGEoDNffesVVffRDkO=w1200-h800
Saung Kebun Tepi Rawa,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,,,,https://www.google.com/maps/place/Saung+Kebun+Tepi+Rawa/data=!4m7!3m6!1s0x2e6995006b979e47:0xbbeb10bfa8c6d871!8m2!3d-6.4180623!4d106.9314625!16s%2Fg%2F11vz3mhwx5!19sChIJR56XawCVaS4RcdjGqL8Q67s?authuser=0&hl=id&rclk=1,-6.4180623,106.9314625,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxRs9zZQwUK63KLihSQuRhe77PJbJ_RBbkcWFzOJJTkQxj85KT9kKB5TLTdXK6H0z2udAd-6G6q6Jg4OP8yv_Ge-Z154_n44gxSvsx99vJaK4cXoBWQyE9kaM88aWDprdWxnNYLnw=w1200-h800
Taman Bermain RW032,Rekreasi,Wisata Rekreasi,Gunung Putri,Kabupaten Bogor,4.5,45,,https://www.google.com/maps/place/Taman+Bermain+RW032/data=!4m7!3m6!1s0x2e699251e5c00195:0xcf7f0f3c385393e1!8m2!3d-6.3291452!4d106.9706338!16s%2Fg%2F11g69_05qt!19sChIJlQHA5VGSaS4R4ZNTODwPf88?authuser=0&hl=id&rclk=1,-6.3291452,106.9706338,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyI0GoEE3fNv0fEox_tpPHPRDTZUFwQyBsppLEIghrb8__zGTIL__ukbegJXniim6rACpMjGQyAe-TuWhbTcRWUEA_MW5GDMJ9Pd72ZMlp7wP104AQ5msn7NEQN3d4_K8_iox4=w1200-h800
Kebun Raya Cibinong,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.3,1641,,https://www.google.com/maps/place/Kebun+Raya+Cibinong/data=!4m7!3m6!1s0x2e69c1aff61dfdff:0xa2d3c1120fdbcc40!8m2!3d-6.4867793!4d106.8564911!16s%2Fg%2F11c3ymrc1q!19sChIJ__0d9q_BaS4RQMzbDxLB06I?authuser=0&hl=id&rclk=1,-6.4867793,106.8564911,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyAHZbQmgkZj4-QXa11PYJakNQvOOxhATy0BC_8vw-6qdWOmTsPeZPR_i7er462fvJ70E5N3grWUMs7Nqh696PKAZyytbSsfcyGEh2BoV3-QIR7tDhTsTDSDgVx6S8huFLVYN6o=w1200-h800
KATOOMBA GREENPARK,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.4,3532,,https://www.google.com/maps/place/KATOOMBA+GREENPARK/data=!4m7!3m6!1s0x2e69eac8ee6a6ed1:0xa5d3e1faf60d2437!8m2!3d-6.4365518!4d106.9023796!16s%2Fg%2F11b7vzqwmj!19sChIJ0W5q7sjqaS4RNyQN9vrh06U?authuser=0&hl=id&rclk=1,-6.4365518,106.9023796,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwuKzjhRuTKN052qntG0coF2zs2ostbntN5kk7cJRQuSqZx83TYzf3EOwnpqcjb4XoDsfUf2o4UUusoEjoL_IhatnQivNg1UU8kgU-Tyb4kiN7kdd1dsXERcNwinwOLcrDcJvCDxw=w1200-h800
Pemancingan Gn. Putri,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,3.9,27,,https://www.google.com/maps/place/Pemancingan+Gn.+Putri/data=!4m7!3m6!1s0x2e69c02004630aed:0xc22ba04c4a1df03f!8m2!3d-6.4613022!4d106.8882179!16s%2Fg%2F11clwpvx3m!19sChIJ7QpjBCDAaS4RP_AdSkygK8I?authuser=0&hl=id&rclk=1,-6.4613022,106.8882179,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx-7Ttov_hbh-gNErgRiWrxzXDtF6gRZ_ptnRBUvJWP4T5vVLYyyXDPXJYna40NhmeLTEiRClEEAKa-2CR-bZ1A3vrGD-rM6otV7ByLCIG5n34PbJgeqOH0KAL9djeNEtAtSzhc=w1200-h800
SAWAH CERE,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.4,25,,https://www.google.com/maps/place/SAWAH+CERE/data=!4m7!3m6!1s0x2e69ebb1d589d5ad:0xb14a805e4163e6da!8m2!3d-6.4600236!4d106.9085407!16s%2Fg%2F11jsg0qkjm!19sChIJrdWJ1bHraS4R2uZjQV6ASrE?authuser=0&hl=id&rclk=1,-6.4600236,106.9085407,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzbttT6xGarGy4RlXOYosiHS3TzlzABj6hWrW1Of_Wxw1_QzRwbDFKFxmQJvzaFlJli53QXQ78V_3mhrR5zANBadQ8JQFTh40e-GR4MSYhsJlWFGOOPzrAUNxUD6QoQ7URDCgec=w1200-h800
Riverside Plantation Indonesia,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.5,83,,https://www.google.com/maps/place/Riverside+Plantation+Indonesia/data=!4m7!3m6!1s0x2e69ead01b8e91f9:0x93546c3d55eacef9!8m2!3d-6.4292822!4d106.9014343!16s%2Fg%2F11bccjwq7j!19sChIJ-ZGOG9DqaS4R-c7qVT1sVJM?authuser=0&hl=id&rclk=1,-6.4292822,106.9014343,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyQ_G0WH3bQfq0I6WDq3BfWfqLW6zS_lZF62oLYyVJad7I0z86wY-0U9XdMOqCH1jLfx2x-1H9Pq_9Yv9yGGDhzOKjUhM1ZUyHS-mPjua3kstXB_tOhk03uDtuCmKGzpPV6oVF-Nw=w1200-h800
Taman Coatesville Kota Wisata Ciangsana,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.7,85,,https://www.google.com/maps/place/Taman+Coatesville+Kota+Wisata+Ciangsana/data=!4m7!3m6!1s0x2e69935f4906c979:0xc6893812d419a381!8m2!3d-6.3577501!4d106.963063!16s%2Fg%2F11fk1nc8ll!19sChIJeckGSV-TaS4RgaMZ1BI4icY?authuser=0&hl=id&rclk=1,-6.3577501,106.963063,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzknlMeA5lVBFdVcf027CWNFGRGOsFyfm4Fs9mEWZHIkzkSmMv9D374DAWzhxATMKyB-xcZBNOjm5yOdTm0PsH2rEZHiHrEg_UpPgK9wpirciPkRlFtaoNWKPXnUzNOhoZQkhBlLg=w1200-h800
Pit stop Jembatan Pelangi,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,4.5,13,,https://www.google.com/maps/place/Pit+stop+Jembatan+Pelangi/data=!4m7!3m6!1s0x2e699367a153baef:0x8d67eb740b097ad8!8m2!3d-6.3374173!4d106.9586982!16s%2Fg%2F11pw5w0s9g!19sChIJ77pToWeTaS4R2HoJC3TrZ40?authuser=0&hl=id&rclk=1,-6.3374173,106.9586982,
AULA Da Vinci,Umum,Lainnya,Gunung Putri,Kabupaten Bogor,5.0,1,,https://www.google.com/maps/place/AULA+Da+Vinci/data=!4m7!3m6!1s0x2e6995a04c9bae5f:0x3baedc26fcf4f1ad!8m2!3d-6.3912423!4d106.9487966!16s%2Fg%2F11trmfxql1!19sChIJX66bTKCVaS4RrfH0_Cbcrjs?authuser=0&hl=id&rclk=1,-6.3912423,106.9487966,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwKKBJvHa3lAld9ilyfwv3yMSm7W5cAgFMHx4ipZuYHG-KKySoIYsn_eY0Y9R7cisWl6jZpJZigyo2fhXuLcTrDIYdCP7adekG54ofPcdSS98synqGvskG9BPjGZr0OuSRg7D4y=w1200-h800
Curug Cinta Putri Kencana,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.5,314,,https://www.google.com/maps/place/Curug+Cinta+Putri+Kencana/data=!4m7!3m6!1s0x2e69b838fc4ad18f:0xe86fe16504b7013a!8m2!3d-6.6078603!4d106.943515!16s%2Fg%2F11c1pqtqx8!19sChIJj9FK_Di4aS4ROgG3BGXhb-g?authuser=0&hl=id&rclk=1,-6.6078603,106.943515,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSynYEkrrqkjt64quxWO-totteiSpNI0MtcyYrFiACCL4UAGo7-jygruufnlWS5Ux03TSXYOfiTrIm3N-kakmJm6Nk8JWyTM04-O_Kh5VxmRjVwvpP9jE_UqkgLwIu98EXExBiSE=w1200-h800
Situ Cicadas,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.3,64,,https://www.google.com/maps/place/Situ+Cicadas/data=!4m7!3m6!1s0x2e6995226694b137:0x150471b4871a2e47!8m2!3d-6.4255267!4d106.9346633!16s%2Fg%2F11g6qt_t8d!19sChIJN7GUZiKVaS4RRy4ah7RxBBU?authuser=0&hl=id&rclk=1,-6.4255267,106.9346633,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzSbEmq4BcEnoPwCLM976ziOvcgKY0F6X8G5muWe8pkL4czxRBMdsKi_Ol7TGqD-DxSulwcAYXsYcdEUDxqjbtqlcoRQiG6-8SYblZfmH4w69LqT5uOJYlb1PhZxAVHJGCe2QXE_g=w1200-h800
ELDORADO WATERPARK,Rekreasi,Wisata Rekreasi,Gunung Putri,Kabupaten Bogor,4.4,2018,,https://www.google.com/maps/place/ELDORADO+WATERPARK/data=!4m7!3m6!1s0x2e69949300b0dceb:0xa3e4917fffdff4a8!8m2!3d-6.4000142!4d106.9458546!16s%2Fg%2F11cnch7d2k!19sChIJ69ywAJOUaS4RqPTf_3-R5KM?authuser=0&hl=id&rclk=1,-6.4000142,106.9458546,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz6Gw5HzDcl578lYqpQuNIsoZGZBIhi5sWp8a-c_gOfo_yYQQSltTrK2DoPVohR8l9wkMBy904WEhX1nimePCEnfrpyVHTn6D8I0kKEYN5Yi9Dnex-27WiScvxLGLqBKs7UwqDR5A=w1200-h800
Curug Putri Kencana,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.4,1745,,https://www.google.com/maps/place/Curug+Putri+Kencana/data=!4m7!3m6!1s0x2e69b869f7bedbd7:0xf83e4aee23eb911b!8m2!3d-6.5977311!4d106.9350111!16s%2Fg%2F11cs01tk_c!19sChIJ19u-92m4aS4RG5HrI-5KPvg?authuser=0&hl=id&rclk=1,-6.5977311,106.9350111,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzxzBhTh3atHoAlU1DKcH_gfFYAu-ESRRJpR2T0xpPKUrNQ82A_jFF0F3YBW9gSU7zJqJp5pPg2TginKSFNNuT1sTeUP9xOazbq-jjuD2SJiyVahlwHYGIB53DAMBVFcttFsek=w1200-h800
Taman Wisata Hutan Jati Ciangsana,Alam,Wisata Alam,Gunung Putri,Kabupaten Bogor,4.2,290,,https://www.google.com/maps/place/Taman+Wisata+Hutan+Jati+Ciangsana/data=!4m7!3m6!1s0x2e69937027d6cb59:0x8beeadc381a7cdc2!8m2!3d-6.3695138!4d106.9439633!16s%2Fg%2F11p74f1jf7!19sChIJWcvWJ3CTaS4Rws2ngcOt7os?authuser=0&hl=id&rclk=1,-6.3695138,106.9439633,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzZ2wBPIQEPpV-DiX94U5VYFkiOPn2_TdOEdgRsKZ5YCb8fH7wnqBy9r1HndzAxqNkpPggteoHJGkb4F81ohbuhKNq0QbOMBoVrZVJ401aNkNUFVMsHpdxLMY3zFS4os1qqpGMHTw=w1200-h800
